"Product page","Category","Etsy SKU","Inventory SKU","Quantity per Etsy unit","Reason"
"Empty 3D  ilicone Jar Focal Bead","focal-beads","3D-JR-EMPTY-BLK-1PK","3D-JR-EMPTY-BLK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Empty 3D  ilicone Jar Focal Bead","focal-beads","3D-JR-EMPTY-GRN-1PK","3D-JR-EMPTY-GRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Empty 3D  ilicone Jar Focal Bead","focal-beads","3D-JR-EMPTY-MIX-4PK","3D-JR-EMPTY-MIX-4PK","4","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Empty 3D  ilicone Jar Focal Bead","focal-beads","3D-JR-EMPTY-ORG-1PK","3D-JR-EMPTY-ORG-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Empty 3D  ilicone Jar Focal Bead","focal-beads","3D-JR-EMPTY-PUR-1PK","3D-JR-EMPTY-PUR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Bead Mix for Bracelet","charms-dangles","ACC-ACRYLICMXBAG-BRN-1PK","ACC-ACRYLICMXBAG-BRN-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Bead Mix for Bracelet","charms-dangles","ACC-ACRYLICMXBAG-MIX-3PK","ACC-ACRYLICMXBAG-MIX-3PK","3","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Bead Mix for Bracelet","charms-dangles","ACC-ACRYLICMXBAG-PNK-1PK","ACC-ACRYLICMXBAG-PNK-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic Bead Mix for Bracelet","charms-dangles","ACC-ACRYLICMXBAG-WHT-1PK","ACC-ACRYLICMXBAG-WHT-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
"Acrylic  tar Charm","charms-dangles","ACC-CHRM-BLUSTR-1PK","ACC-CHRM-BLUSTR-1PK","1","Exact Etsy SKU matches inventory SKU; excluded from parent conversion"
