TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES","VARIATION 3 TYPE","VARIATION 3 NAME","VARIATION 3 VALUES",SKU
"Printed Beads, Silicone Round Beads, Paw Print Beads, Animal Lover Beads, 15mm Beads, DIY Crafting Beads, Beads for Lanyards, Beads for Pens","Printed Beads, Silicone Round Beads, Paw Print Beads, Animal Lover Beads, 15mm Beads, DIY Crafting Beads, Beads for Lanyards, Beads for Pens

Quantity: 5 or 10 Beads
Size: 15mm 

✔️ Tested and suitable for beaded pens, keychains and wine stoppers! 

Colors may vary based on computer monitor settings.

Material: Silicone (100% food-grade silicone - non-toxic - tasteless and odorless - BPA, lead, phthalate and cadmium free)

🧼 Easily cleaned with dish soap & water.

Disclaimer: Due to the nature of how the printed beads are manufactured the designs may have a stretched look to them as well as a noticeable line where the design meets. This is not a flaw in the designs, that is how they are intended to be. You will find some more than others have these features. 

⚠️ WARNING ⚠️ Keep out of the reach of children. This product is not intended for children. Choking hazard.",2.4,USD,8,"Printed_Beads,Silicone_Round_Beads,Paw_Print_Beads,Animal_Lover_Beads,15mm_Beads,DIY_Crafting_Beads,Beads_for_Lanyards,Beads_for_Pens,loose_beads,beads_for_keychains,black_and_white_bead,beads_in_bulk,dog_beads",Silicone,https://i.etsystatic.com/20737808/r/il/042dad/6545991099/il_fullxfull.6545991099_7wcq.jpg,https://i.etsystatic.com/20737808/r/il/6a670a/6545980747/il_fullxfull.6545980747_8ua5.jpg,https://i.etsystatic.com/20737808/r/il/20176c/4771045995/il_fullxfull.4771045995_msd2.jpg,https://i.etsystatic.com/20737808/r/il/87ee18/4910581176/il_fullxfull.4910581176_bokk.jpg,https://i.etsystatic.com/20737808/r/il/be4217/4958842441/il_fullxfull.4958842441_a5py.jpg,https://i.etsystatic.com/20737808/r/il/c9fb05/4910581458/il_fullxfull.4910581458_8e9t.jpg,https://i.etsystatic.com/20737808/r/il/4f1f17/4958847779/il_fullxfull.4958847779_j3k1.jpg,https://i.etsystatic.com/20737808/r/il/387d9a/6497855222/il_fullxfull.6497855222_n9hr.jpg,https://i.etsystatic.com/20737808/r/il/858ed5/6497855178/il_fullxfull.6497855178_jlp6.jpg,https://i.etsystatic.com/20737808/r/il/7d06d7/6545980731/il_fullxfull.6545980731_tdn1.jpg,"Custom Property","How Many Beads?","5 Beads,10 Beads",,,,,,,"SIL15-PRNT-PAW-5PK,SIL15-PRNT-PAW-10PK"
"Mama Bead, Happy Pills Bead, Silicone Focal Bead, DIY Craft Bead for Pen, Gift for Mom, Loose Bead, Mothers Day Gift Idea, Funny Beads","Mama Bead, Happy Pills Bead, Silicone Focal Bead, DIY Craft Bead for Pen, Gift for Mom, Loose Bead, Mothers Day Gift Idea, Funny Beads

Double Sided 

Material: Silicone
Quantity: 1 or 5 Beads
Style: Choose from the drop down menu

🧼 Easily cleaned with soap and water. 

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting and batches. 

💥WARNING💥 Choking Hazard. Please keep away from children.",1.45,USD,36,"Silicone_Focal_Beads,diy_craft_beads,lanyard_beads,family_beads,beads_for_pens,mothers_day_gifts,gifts_for_mom,mama_beads,mom_beads,1st_Mothers_Day,funny_beads,happy_pills_beads,ugly_children_bead",Silicone,https://i.etsystatic.com/20737808/r/il/7b9705/6776516778/il_fullxfull.6776516778_4wrs.jpg,https://i.etsystatic.com/20737808/r/il/0fa38d/6824488227/il_fullxfull.6824488227_mq9s.jpg,https://i.etsystatic.com/20737808/r/il/b67821/6824532751/il_fullxfull.6824532751_3n30.jpg,https://i.etsystatic.com/20737808/r/il/f2eff9/6776516892/il_fullxfull.6776516892_1yv2.jpg,https://i.etsystatic.com/20737808/r/il/c65e4d/6776517060/il_fullxfull.6776517060_csee.jpg,https://i.etsystatic.com/20737808/r/il/17705e/6776517134/il_fullxfull.6776517134_4mis.jpg,https://i.etsystatic.com/20737808/r/il/cf1cfd/6776517252/il_fullxfull.6776517252_i3kk.jpg,https://i.etsystatic.com/20737808/r/il/79900d/6675605792/il_fullxfull.6675605792_5fk2.jpg,https://i.etsystatic.com/20737808/r/il/7a0d1e/6824534041/il_fullxfull.6824534041_fcxh.jpg,https://i.etsystatic.com/20737808/r/il/a74e31/6776518178/il_fullxfull.6776518178_lxhg.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads","Custom Property","Bead Style","Ugly Children,Happy Pills,Mama Mama Mama Mama",,,,"FOC-FAM-UGLYCHLDRN-1PK,FOC-FAM-MAMAMAMA-1PK,FOC-FAM-MOMHPPYPLLS-5PK,FOC-FAM-MOMHPPYPLLS-1PK,FOC-FAM-UGLYCHLDRN-5PK,FOC-FAM-MAMAMAMA-5PK"
"Hockey Focal Beads, Sports Beads, I Love Hockey Beads, Puck Beads, Hockey Stick Focal, Goalie Beads, DIY Craft Beads for Pens, Coach Gifts","Hockey Focal Beads, Sports Beads, I Love Hockey Beads, Puck Beads, Hockey Stick Focal, Goalie Beads, Crafting Beads for Beaded Pens

Double Sided

Material: PVC
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only.

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,250,"diy_crafts_bead_kit,keychain_beads_bulk,hockey_puck_beads,i_love_hockey_beads,goalie_beads,hockey_stick_beads,hockey_focal_beads,PVC_focal_beads,silicone_focal_beads,DIY_craft_beads,beaded_pen_beads,cup_charm_accessory,sports_beads",PVC,https://i.etsystatic.com/20737808/r/il/679418/6477743981/il_fullxfull.6477743981_hots.jpg,https://i.etsystatic.com/20737808/r/il/4b6a99/6429650072/il_fullxfull.6429650072_g1y0.jpg,https://i.etsystatic.com/20737808/r/il/2adbeb/6429650308/il_fullxfull.6429650308_tbx2.jpg,https://i.etsystatic.com/20737808/r/il/0aeaac/6477746533/il_fullxfull.6477746533_ti5y.jpg,https://i.etsystatic.com/20737808/r/il/d3526b/6477746849/il_fullxfull.6477746849_9ycv.jpg,https://i.etsystatic.com/20737808/r/il/e16879/6477747093/il_fullxfull.6477747093_pd5m.jpg,https://i.etsystatic.com/20737808/r/il/21495c/6536415513/il_fullxfull.6536415513_9jcm.jpg,https://i.etsystatic.com/20737808/r/il/a91882/6709819753/il_fullxfull.6709819753_by7z.jpg,https://i.etsystatic.com/20737808/r/il/e6543d/6247717428/il_fullxfull.6247717428_efxn.jpg,https://i.etsystatic.com/20737808/r/il/6cfd3f/6247922742/il_fullxfull.6247922742_f0gg.jpg,"Custom Property","Bead Style","Coach,Hockey Mom,I Love Hockey,Goalie,Ice Skate,Hockey Player,Hockey Stick,Double Ice Skate","Custom Property","How Many Beads?","1 Bead,5 Beads",,,,"FOC-SPT-HCKYCCH-5PK,FOC-SPT-HCKYMOM-1PK,FOC-SPT-ILVHCKY-1PK,FOC-SPT-ICESKTE-5PK,FOC-SPT-HCKYCCH-1PK,FOC-SPT-HCKYMOM-5PK,FOC-SPT-ILVHCKY-5PK,FOC-SPT-HCKYGLE-1PK,FOC-SPT-HCKYGLE-5PK,FOC-SPT-ICESKTE-1PK,FOC-SPT-HCKYPLYR-1PK,FOC-SPT-HCKYPLYR-5PK,FOC-SPT-HCKYSTCK-1PK,FOC-SPT-HCKYSTCK-5PK,FOC-SPT-DBLICESKTE-1PK,FOC-SPT-DBLICESKTE-5PK"
"Hospice Beads, Silicone Focal Beads, Medical Beads, DIY Craft Beads for Pens, Loose Beads, Nurse Beads, Badge Reel Beads, Bead Supplies","Hospice Beads, Silicone Focal Beads, Medical Beads, DIY Craft Beads for Pens, Loose Beads, Nurse Beads, Badge Reel Beads, Bead Supplies

Double Sided

Material: Silicone
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only. 

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,20,"Silicone_Focal_Beads,beads_in_bulk,beads_for_pens,wristlet_beads,lanyard_beads,badge_reel_beads,medical_beads,loose_beads,nurse_Beads,coffee_beads,funny_Beads,bead_Supplies,hospice_Nurse_Beads",Silicone,https://i.etsystatic.com/20737808/r/il/aba6e9/7055826555/il_fullxfull.7055826555_b127.jpg,https://i.etsystatic.com/20737808/r/il/e3e501/7055827253/il_fullxfull.7055827253_iuro.jpg,https://i.etsystatic.com/20737808/r/il/4a90d8/7055826519/il_fullxfull.7055826519_e5fr.jpg,https://i.etsystatic.com/20737808/r/il/36619d/7007845410/il_fullxfull.7007845410_onq3.jpg,https://i.etsystatic.com/20737808/r/il/cd6280/7007845308/il_fullxfull.7007845308_u8bn.jpg,https://i.etsystatic.com/20737808/r/il/e1eeb6/7055826663/il_fullxfull.7055826663_jhh8.jpg,https://i.etsystatic.com/20737808/r/il/d3d77a/7055825917/il_fullxfull.7055825917_1qfl.jpg,https://i.etsystatic.com/20737808/r/il/9894f3/7055826047/il_fullxfull.7055826047_9802.jpg,https://i.etsystatic.com/20737808/r/il/0ee167/7007845018/il_fullxfull.7007845018_mc1x.jpg,https://i.etsystatic.com/20737808/r/il/11d8e7/7007846076/il_fullxfull.7007846076_ggis.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads",,,,,,,"FOC-OCC-HSPCNRSE-1PK,FOC-OCC-HSPCNRSE-5PK"
"Nurse Beads, Silicone Focal Beads, Cute Focal Beads, Coffee Focal Beads, Medical Beads, DIY Craft Beads for Pens, Loose Beads, Funny Beads","Nurse Beads, Silicone Focal Beads, Cute Focal Beads, Coffee Focal Beads, Medical Beads, DIY Craft Beads for Pens, Loose Beads, Funny Beads

Double Sided

Material: Silicone
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only. 

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,6,"Silicone_Focal_Beads,beads_in_bulk,DIY_crafting_beads,beads_for_pens,wristlet_beads,lanyard_beads,badge_reel_beads,stethoscope_bead,medical_beads,loose_beads,nurse_Beads,coffee_beads,funny_beads",Silicone,https://i.etsystatic.com/20737808/r/il/185fd0/6740774573/il_fullxfull.6740774573_rdg1.jpg,https://i.etsystatic.com/20737808/r/il/d3f0f0/6670030208/il_fullxfull.6670030208_fxxs.jpg,https://i.etsystatic.com/20737808/r/il/8fe8a3/6692735370/il_fullxfull.6692735370_260m.jpg,https://i.etsystatic.com/20737808/r/il/da9b31/6692735464/il_fullxfull.6692735464_78hy.jpg,https://i.etsystatic.com/20737808/r/il/edae11/6740774829/il_fullxfull.6740774829_rm05.jpg,https://i.etsystatic.com/20737808/r/il/80dc71/6740774909/il_fullxfull.6740774909_gy4k.jpg,https://i.etsystatic.com/20737808/r/il/3fc0ad/6740775315/il_fullxfull.6740775315_aw8m.jpg,https://i.etsystatic.com/20737808/r/il/1a05fb/6423939339/il_fullxfull.6423939339_ts2l.jpg,https://i.etsystatic.com/20737808/r/il/b70543/6423939351/il_fullxfull.6423939351_maaf.jpg,https://i.etsystatic.com/20737808/r/il/c4b6f5/6375856006/il_fullxfull.6375856006_lu7n.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads",,,,,,,"FOC-OCC-HALFNURSE-1PK,FOC-OCC-HALFNURSE-5PK"
"20mm Bubblegum Bead, Best Friends Bead, Family Beads, Chunky Beads, Acrylic Beads, Beads for Lanyards, DIY Craft Beads for Pens, Bead Supply","20mm Bubblegum Bead, Best Friends Beads, Family Beads, Chunky Beads, Acrylic Beads, Beads for Lanyards, DIY Craft Beads for Pens, Bead Supplies

Theme: Best Friends Forever
Quantity: 5pc, 10pc, or 20pc
Fits perfectly on our: Pens and Keychains.

Disclaimers: 
-This bead is faded on the some parts. Selling at a discounted rate for this minor imperfection!

Colors may vary slightly due to photography lighting, computer monitor settings, and batch-to-batch. Slight pulling of the design may be present on one or more sides of the beads. Slight reaming may be needed to fit.

Choking hazard. Keep away from children, adult supervision is required.",1.75,USD,6,"20mm_Bubblegum_Bead,Chunky_Beads,Acrylic_Beads,Beads_for_Pen,loose_beads,keychain_beads,lanyard_beads,bulk_beads,20mm_acrylic_beads,family_beads,diy_Craft_beads,best_friend_Beads,bead_supply",Acrylic,https://i.etsystatic.com/20737808/r/il/913c43/7134204573/il_fullxfull.7134204573_d5ab.jpg,https://i.etsystatic.com/20737808/r/il/cb42b7/7086257326/il_fullxfull.7086257326_rjjm.jpg,https://i.etsystatic.com/20737808/r/il/718f15/7086257614/il_fullxfull.7086257614_qelr.jpg,https://i.etsystatic.com/20737808/r/il/1e8234/7086258040/il_fullxfull.7086258040_c4jl.jpg,https://i.etsystatic.com/20737808/r/il/ce5ea3/7134204271/il_fullxfull.7134204271_3mzf.jpg,https://i.etsystatic.com/20737808/r/il/b6c7a9/7134202737/il_fullxfull.7134202737_ltsb.jpg,https://i.etsystatic.com/20737808/r/il/86007d/7086256544/il_fullxfull.7086256544_f0za.jpg,https://i.etsystatic.com/20737808/r/il/9f1839/7134203229/il_fullxfull.7134203229_lalx.jpg,https://i.etsystatic.com/20737808/r/il/ad765d/7086257202/il_fullxfull.7086257202_girn.jpg,https://i.etsystatic.com/20737808/r/il/45c235/7086258362/il_fullxfull.7086258362_7pvi.jpg,"Custom Property",Quantity,"5 Beads,10 Beads,20 Beads",,,,,,,"ACR-BFF-20MM-5PK,ACR-BFF-20MM-10PK,ACR-BFF-20MM-20PK"
"Fishing Beads, Bite Me Beads, Silicone Focal Bead, Sarcastic Beads, Focal Beads for Men, Bait Beads, DIY Craft Bead for Pens, Fish Hook Bead","Fishing Beads, Bite Me Beads, Silicone Focal Bead, Sarcastic Beads, Focal Beads for Men, Bait Beads, DIY Craft Bead for Pens, Fish Hook Bead

Double Sided

Material: Silicone
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only.

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,2,"Silicone_Focal_Beads,bait_tackle_box,Beads_for_pens,focal_beads_for_men,bass_fish_focals,fishing_beads,keychain_beads,beads_in_bulk,DIY_craft_Beads,bite_me_beads,sarcastic_beads,fishing_hook_beads,funny_beads",Silicone,https://i.etsystatic.com/20737808/r/il/97a32f/6805748489/il_fullxfull.6805748489_6pb5.jpg,https://i.etsystatic.com/20737808/r/il/905af7/6757738580/il_fullxfull.6757738580_ri6s.jpg,https://i.etsystatic.com/20737808/r/il/9e4be6/6805748633/il_fullxfull.6805748633_7y0d.jpg,https://i.etsystatic.com/20737808/r/il/452687/6805748851/il_fullxfull.6805748851_kg12.jpg,https://i.etsystatic.com/20737808/r/il/532f5d/6805748675/il_fullxfull.6805748675_bfq5.jpg,https://i.etsystatic.com/20737808/r/il/662f9d/6757738816/il_fullxfull.6757738816_jnot.jpg,https://i.etsystatic.com/20737808/r/il/92f329/6370920678/il_fullxfull.6370920678_afig.jpg,https://i.etsystatic.com/20737808/r/il/bd3ae1/6419004845/il_fullxfull.6419004845_6usx.jpg,https://i.etsystatic.com/20737808/r/il/df8b5a/6370920676/il_fullxfull.6370920676_bope.jpg,https://i.etsystatic.com/20737808/r/il/862efb/6757739476/il_fullxfull.6757739476_j2t3.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads",,,,,,,"FOC-FAM-BTME-1PK,FOC-FAM-BTME-5PK"
"Bro Beads, Silicone Focal Beads, Funny Family Beads, New Sarcastic Beads, DIY Craft Beads for Beaded Pens, Cup Charm Accessory, Bead Supply","Bro Beads, Silicone Focal Beads, Funny Family Beads, New Sarcastic Beads, DIY Craft Beads for Beaded Pens, Cup Charm Accessory, Bead Supply

Double Sided

Material: Silicone
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only.

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,4,"beads_in_bulk,keychain_beads_bulk,Bro_Beads,Silicone_Focal_Bead,Funny_Beads,Family_Beads,New_Focal_Beads,Cup_Charm_Accessory,DIY_Craft_Beads,beads_for_pens,lanyard_beads,badge_reel_beads,sarcastic_beads",Silicone,https://i.etsystatic.com/20737808/r/il/ac3c14/6362660740/il_fullxfull.6362660740_nfud.jpg,https://i.etsystatic.com/20737808/r/il/3e4d13/6893905911/il_fullxfull.6893905911_9ry4.jpg,https://i.etsystatic.com/20737808/r/il/f891d7/6362660952/il_fullxfull.6362660952_bz4y.jpg,https://i.etsystatic.com/20737808/r/il/0e191e/6410742811/il_fullxfull.6410742811_48cm.jpg,https://i.etsystatic.com/20737808/r/il/d5b353/6362661060/il_fullxfull.6362661060_pe8a.jpg,https://i.etsystatic.com/20737808/r/il/df3996/6410744829/il_fullxfull.6410744829_q6mb.jpg,https://i.etsystatic.com/20737808/r/il/e6543d/6247717428/il_fullxfull.6247717428_efxn.jpg,https://i.etsystatic.com/20737808/r/il/a2f206/6410599579/il_fullxfull.6410599579_b47f.jpg,https://i.etsystatic.com/20737808/r/il/476b76/6410599573/il_fullxfull.6410599573_rpnf.jpg,https://i.etsystatic.com/20737808/r/il/ee4fc2/6845929116/il_fullxfull.6845929116_4nsd.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads",,,,,,,"FOC-FAM-BRO-1PK,FOC-FAM-BRO-5PK"
"Pencil Beads, Test Score Beads, Silicone Focal Beads , School Beads, Mental Health Beads, DIY Craft Beads for Pens, Cup Charm Accessories","Pencil Beads, Test Score Beads, Silicone Focal Beads , School Beads, Mental Health Beads, DIY Craft Beads for Pens, Cup Charm Accessories

Double Sided

Material: Silicone
Quantity: 1 or 5 Beads

🧼 Easily cleaned with soap and water.

Pictures are for reference only.

Notes:

🎨 Colors may vary slightly due to computer monitor screen settings, photography lighting, and batches. 

💥WARNING💥 Choking Hazard. Not intended for Children. Parental supervision is required.",1.45,USD,2,"diy_crafts_bead_kit,bead_Mix_lot_pack,beads_in_bulk,crafting_beads,focal_silicone_beads,new_round_beads,mixed_bead_supply,beaded_pen_beads,wristlet_beads,keychain_beads_bulk,school_beads,pencil_test_score,teacher_beads_bulk",Silicone,https://i.etsystatic.com/20737808/r/il/a8af67/6849340441/il_fullxfull.6849340441_1e9a.jpg,https://i.etsystatic.com/20737808/r/il/51173a/6261175084/il_fullxfull.6261175084_i533.jpg,https://i.etsystatic.com/20737808/r/il/fa04ec/6261049124/il_fullxfull.6261049124_39fj.jpg,https://i.etsystatic.com/20737808/r/il/c0a7c6/6309214907/il_fullxfull.6309214907_but4.jpg,https://i.etsystatic.com/20737808/r/il/24a214/6309215089/il_fullxfull.6309215089_jn8g.jpg,https://i.etsystatic.com/20737808/r/il/b5bf66/6261165094/il_fullxfull.6261165094_m7zj.jpg,https://i.etsystatic.com/20737808/r/il/518070/6309215517/il_fullxfull.6309215517_59jd.jpg,https://i.etsystatic.com/20737808/r/il/5eafa0/6261165372/il_fullxfull.6261165372_20st.jpg,https://i.etsystatic.com/20737808/r/il/e6543d/6247717428/il_fullxfull.6247717428_efxn.jpg,https://i.etsystatic.com/20737808/r/il/79de47/6849332693/il_fullxfull.6849332693_k04k.jpg,"Custom Property","How Many Beads?","1 Bead,5 Beads",,,,,,,"FOC-SCH-TSTSCRE-1PK,FOC-SCH-TSTSCRE-5PK"
"Dog Grandma Silicone Focal Bead, Pet Lover Bead, Dog Mom Craft Supply, Beadable Pen Bead, Keychain Bead, DIY Pet Gift Focal","Show off your dog grandma pride with this Dog Grandma silicone focal bead! Perfect for creating beadable pens, keychains, badge reels, wristlets and other handmade gifts for dog lovers.

These are smaller focal beads, please check the pictures for reference.

Great for:

Dog Grandma gifts
Pet lover pens
Keychains & wristlets
Badge reels
DIY craft projects

Quantity: Choose your desired quantity from the dropdown.

Please note: Colors may vary slightly due to lighting and screen settings. Small parts may pose a choking hazard. Not intended for children under 3 years old.",1.45,USD,10,"dog_grandma_bead,dog_grandma_gift,dog_lover_bead,pet_lover_bead,silicone_focal,focal_bead,beadable_pen_bead,keychain_bead,dog_mom_supplies,pet_craft_supplies,grandma_gift_diy,pen_making_supply,dog_lover_craft",Silicone,https://i.etsystatic.com/20737808/r/il/09eef2/8412152329/il_fullxfull.8412152329_g1mm.jpg,https://i.etsystatic.com/20737808/r/il/6ddfe7/8364269914/il_fullxfull.8364269914_othi.jpg,https://i.etsystatic.com/20737808/r/il/7c6efc/8364269818/il_fullxfull.8364269818_oy7f.jpg,https://i.etsystatic.com/20737808/r/il/0d0278/8364269938/il_fullxfull.8364269938_9jro.jpg,https://i.etsystatic.com/20737808/r/il/b66f4a/8412152487/il_fullxfull.8412152487_lkwt.jpg,https://i.etsystatic.com/20737808/r/il/3e35a5/8412152363/il_fullxfull.8412152363_3200.jpg,https://i.etsystatic.com/20737808/r/il/aee275/8364269824/il_fullxfull.8364269824_r30e.jpg,https://i.etsystatic.com/20737808/r/il/e487e9/6462217809/il_fullxfull.6462217809_3pm5.jpg,https://i.etsystatic.com/20737808/r/il/9c6ca0/7085249233/il_fullxfull.7085249233_d3li.jpg,https://i.etsystatic.com/20737808/r/il/c632bf/6462217797/il_fullxfull.6462217797_ghwv.jpg,"Custom Property","How Many Beads?","1 Single Bead,5 Beads (Same Style)",,,,,,,"FOC-ANI-DGGRNDM-5PK,FOC-ANI-DGGRNDM-1PK"
