"Product page","Category","Etsy SKU","Child inventory SKU","Quantity per pack"
"Elephant Bead","focal-beads","FOC-ANI-BLU-BELLY-5PK","FOC-ANI-BLU-BELLY-1PK","5"
"ilicone Clam  hell  pacer Bead","spacers-accessories","FOC-CLMSHLL-LTORG-5PK","FOC-CLMSHLL-LTORG-1PK","5"
"3D Bead Cupcake Bead","charms-dangles","FOC-FOD-3D-CPCKWHT-5PK","FOC-FOD-3D-CPCKWHT-1PK","5"
"3D  nail Bead","focal-beads","FOC-ANI-3D-DKYELSNL-5PK","FOC-ANI-3D-DKYELSNL-1PK","5"
"15mm Bead","charms-dangles","SIL15-YELL-B-5PK","SIL15-YELL-B-1PK","5"
"3D Large Bow  ilicone Focal Bead","focal-beads","FOC-TAILBW-GLITTEAL-5PK","FOC-TAILBW-GLITTEAL-1PK","5"
"16mm  olid Light Pink Bead","acrylic","ACR-16MM-SLD-LTPNK-10PK","ACR-16MM-SLD-LTPNK-1PK","10"
"Printed Bead 15mm Round Bead","uncategorized","SIL15-PRNT-FRUIT-5PK","SIL15-PRNT-FRUIT-1PK","5"
"20mm Bubblegum Bead","acrylic","ACR-POLTCL-20MM-20PK","ACR-POLTCL-20MM-1PK","20"
"Acrylic Flatback","charms-dangles","FLB-XRAYTCHGLD-5PK","FLB-XRAYTCHGLD-1PK","5"
"Mu hroom Bead","focal-beads","FOC-SPR-ORGMSHRM-5PK","FOC-SPR-ORGMSHRM-1PK","5"
"Silicone Dark Purple Spacer Beads Round Abacus Lentil Beads 12mm 14mm 15mm for Beadable Pens Keychains DIY Crafts Bulk 5pc 10pc","spacers-accessories","SIL-12MM-DKPUR-10PK","SIL-12MM-DKPUR-1PK","10"
"Flamingo Bead","focal-beads","FOC-HAL-PTRTCGHST-5PK","FOC-HAL-PTRTCGHST-1PK","5"
"Book Bead","focal-beads","FOC-SCH-LTPCHBOOK-5PK","FOC-SCH-LTPCHBOOK-1PK","5"
"Butterfly Bead","focal-beads","FOC-ANI-BUTTBLU-5PK","FOC-ANI-BUTTBLU-1PK","5"
"emi Truck Bead","focal-beads","FOC-VEH-PNK-SEMI-5PK","FOC-VEH-PNK-SEMI-1PK","5"
"20mm Bubblegum Bead","mixes-bundles-kits","ACR-CRMSCNE-20MM-5PK","ACR-CRMSCNE-20MM-1PK","5"
"2","acrylic","ACR-PNTSWRL-BLK-20MM-5PK","ACR-PNTSWRL-BLK-20MM-1PK","5"
"3D Rubber Duck Bead","focal-beads","FOC-ANI-3D-WHTCWDCK-5PK","FOC-ANI-3D-WHTCWDCK-1PK","5"
"20mm  port  Rhine tone Bead","rhinestone-beads","RHNST-SCCR-10PK","RHNST-SCCR-1PK","10"
"t Patrick’  Day Beadable Pen Kit","focal-beads","BUNDLE-STPTRCKSDAY-60PC","BUNDLE-STPTRCKSDAY-60PC","60"
"18mm Marbled Pumpkin XL Hole Bead","acrylic","ACR-18MM-MRBLMIX-PMKN-7PK","ACR-18MM-MRBLMIX-PMKN-7PK","7"
"ilicone Round Bead","focal-beads","SIL-ABA-SKYBLU-5PK","SIL-ABA-SKYBLU-1PK","5"
