review_type,source,identifier,detail,current_value,recommended_action
Negative inventory,QuickBooks / canonical inventory,ACC-DISC-SLV-1PK,Quantity on hand is negative,-50,Confirm physical count and correct inventory before selling or replenishing
Negative inventory,QuickBooks / canonical inventory,ACC-GEM-SLV-10MM-1PK,Quantity on hand is negative,-10,Confirm physical count and correct inventory before selling or replenishing
Negative inventory,QuickBooks / canonical inventory,BLK-KEY-CLR-MIX-9PK,Quantity on hand is negative,-1,Confirm physical count and correct inventory before selling or replenishing
Negative inventory,QuickBooks / canonical inventory,FOC-OCC-RDLGYTCH-1PK,Quantity on hand is negative,-1,Confirm physical count and correct inventory before selling or replenishing
Unmatched Etsy SKU,Etsy export,90S-BUNDLE-ASSMBLD,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,90S-BUNDLE-LOOSE,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-CRCHT-LTBLU-10PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-CRCHT-LTBLU-5PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-CRCHT-PNK-10PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-CRCHT-PNK-5PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-FRRY-DKGRN-10PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
Unmatched Etsy SKU,Etsy export,ACC-FRRY-DKGRN-25PK,No QuickBooks SKU or recognized base SKU match,Not imported into conversion mapping,Assign the correct internal inventory SKU and deduction quantity
